2019-05-28T15:07:38.645Z [info] 	Starting TrueAutomation.IO client
2019-05-28T15:07:38.646Z [info] 	API key: 8ceb34cf-4ee4-46dd-8ccb-9f733013341a
2019-05-28T15:07:38.646Z [info] 	Project name: repForBugs
2019-05-28T15:07:38.646Z [info] 	Cloud server: http://app-dev.trueautomation.io
2019-05-28T15:07:38.646Z [info] 	Starting chromeDriver /Users/juliaarapova/.trueautomation/chromedriver/chromedriver_mac64_74.0.3729.6 on port 9516...
2019-05-28T15:07:39.156Z [info] 	TrueAutomation.IO Client is listening on port 9515
2019-05-28T15:07:40.422Z [info] 	0 Create session response: {"sessionId":"ea49d64bfdb970a10b14efd8a4c3fd80","status":0,"value":{"acceptInsecureCerts":false,"acceptSslCerts":false,"applicationCacheEnabled":false,"browserConnectionEnabled":false,"browserName":"chrome","chrome":{"chromedriverVersion":"74.0.3729.6 (255758eccf3d244491b8a1317aa76e1ce10d57e9-refs/branch-heads/3729@{#29})","userDataDir":"/var/folders/vv/_x0x6cds6_l48m8ntvvw30sw0000gn/T/.com.google.Chrome.Q8VsmF"},"cssSelectorsEnabled":true,"databaseEnabled":false,"goog:chromeOptions":{"debuggerAddress":"localhost:53659"},"handlesAlerts":true,"hasTouchScreen":false,"javascriptEnabled":true,"locationContextEnabled":true,"mobileEmulationEnabled":false,"nativeEvents":true,"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platform":"Mac OS X","proxy":{},"rotatable":false,"setWindowRect":true,"strictFileInteractability":false,"takesHeapSnapshot":true,"takesScreenshot":true,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"unexpectedAlertBehaviour":"ignore","version":"74.0.3729.169","webStorageEnabled":true}}
2019-05-28T15:07:40.432Z [info] 	1 Sending POST request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/url:  {"url":"https://ectest.trueautomation.io/flow"}
2019-05-28T15:07:45.674Z [info] 	2 Sending elements request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80:  {"using":"xpath","value":"//input[@id='username']"}
2019-05-28T15:07:45.674Z [info] 	2 Elements locator: {"value":"//input[@id='username']","using":"xpath"}
2019-05-28T15:07:45.743Z [info] 	2 Elements response: {"sessionId":"ea49d64bfdb970a10b14efd8a4c3fd80","status":0,"value":[{"ELEMENT":"0.31077128047845615-1"}]}
