2019-06-05T09:12:49.594Z [info] 	Starting TrueAutomation.IO client
2019-06-05T09:12:49.594Z [info] 	API key: 8ceb34cf-4ee4-46dd-8ccb-9f733013341a
2019-06-05T09:12:49.595Z [info] 	Project name: 866
2019-06-05T09:12:49.595Z [info] 	Cloud server: http://app-dev.trueautomation.io
2019-06-05T09:12:49.595Z [info] 	Starting chromeDriver /Users/juliaarapova/.trueautomation/chromedriver/chromedriver_mac64_74.0.3729.6 on port 9516...
2019-06-05T09:12:50.106Z [info] 	TrueAutomation.IO Client is listening on port 9515
2019-06-05T09:12:51.432Z [info] 	0 Create session response: {"sessionId":"90a00670caea3b007ce52498ba53b02d","status":0,"value":{"acceptInsecureCerts":false,"acceptSslCerts":false,"applicationCacheEnabled":false,"browserConnectionEnabled":false,"browserName":"chrome","chrome":{"chromedriverVersion":"74.0.3729.6 (255758eccf3d244491b8a1317aa76e1ce10d57e9-refs/branch-heads/3729@{#29})","userDataDir":"/var/folders/vv/_x0x6cds6_l48m8ntvvw30sw0000gn/T/.com.google.Chrome.7acJ0E"},"cssSelectorsEnabled":true,"databaseEnabled":false,"goog:chromeOptions":{"debuggerAddress":"localhost:61205"},"handlesAlerts":true,"hasTouchScreen":false,"javascriptEnabled":true,"locationContextEnabled":true,"mobileEmulationEnabled":false,"nativeEvents":true,"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platform":"Mac OS X","proxy":{},"rotatable":false,"setWindowRect":true,"strictFileInteractability":false,"takesHeapSnapshot":true,"takesScreenshot":true,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"unexpectedAlertBehaviour":"ignore","version":"74.0.3729.169","webStorageEnabled":true}}
2019-06-05T09:12:51.442Z [info] 	1 Sending POST request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/url:  {"url":"https://ectest.trueautomation.io/flow"}
2019-06-05T09:12:56.815Z [info] 	2 Sending elements request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d:  {"using":"xpath","value":"//input[@id='username']"}
2019-06-05T09:12:56.816Z [info] 	2 Elements locator: {"value":"//input[@id='username']","using":"xpath"}
2019-06-05T09:12:56.828Z [info] 	2 Elements response: {"sessionId":"90a00670caea3b007ce52498ba53b02d","status":0,"value":[]}
2019-06-05T09:12:56.842Z [info] 	3 Sending elements request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d:  {"using":"xpath","value":"//input[@id='username']"}
2019-06-05T09:12:56.843Z [info] 	3 Elements locator: {"value":"//input[@id='username']","using":"xpath"}
2019-06-05T09:12:56.852Z [info] 	3 Elements response: {"sessionId":"90a00670caea3b007ce52498ba53b02d","status":0,"value":[]}
2019-06-05T09:12:56.865Z [info] 	4 Sending elements request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d:  {"using":"xpath","value":"//input[@id='username']"}
2019-06-05T09:12:56.866Z [info] 	4 Elements locator: {"value":"//input[@id='username']","using":"xpath"}
2019-06-05T09:12:56.977Z [info] 	4 Elements response: {"sessionId":"90a00670caea3b007ce52498ba53b02d","status":0,"value":[{"ELEMENT":"0.20920481118294787-1"}]}
2019-06-05T09:12:56.979Z [info] 	5 Sending GET request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/element/0.20920481118294787-1/displayed:  {}
2019-06-05T09:12:56.992Z [info] 	6 Sending POST request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/execute:  {"script":"return (function(el, names){\n  return names.map(function(name){\n    return el[name]\n  });\n})(arguments[0], arguments[1]);\n","args":[{"ELEMENT":"0.20920481118294787-1"},["tagName","type"]]}
2019-06-05T09:12:56.998Z [info] 	7 Sending POST request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/execute:  {"script":"if (!arguments[0].readOnly){ arguments[0].value = '' }","args":[{"ELEMENT":"0.20920481118294787-1"}]}
2019-06-05T09:12:57.004Z [info] 	8 Sending POST request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/element/0.20920481118294787-1/value:  {"value":["admin"]}
2019-06-05T09:12:57.047Z [info] 	9 Sending elements request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d:  {"using":"xpath","value":"//input[@id='password']"}
2019-06-05T09:12:57.047Z [info] 	9 Elements locator: {"value":"//input[@id='password']","using":"xpath"}
2019-06-05T09:12:57.057Z [info] 	9 Elements response: {"sessionId":"90a00670caea3b007ce52498ba53b02d","status":0,"value":[{"ELEMENT":"0.20920481118294787-2"}]}
2019-06-05T09:12:57.060Z [info] 	10 Sending GET request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/element/0.20920481118294787-2/displayed:  {}
2019-06-05T09:12:57.072Z [info] 	11 Sending POST request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/execute:  {"script":"return (function(el, names){\n  return names.map(function(name){\n    return el[name]\n  });\n})(arguments[0], arguments[1]);\n","args":[{"ELEMENT":"0.20920481118294787-2"},["tagName","type"]]}
2019-06-05T09:12:57.078Z [info] 	12 Sending POST request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/execute:  {"script":"if (!arguments[0].readOnly){ arguments[0].value = '' }","args":[{"ELEMENT":"0.20920481118294787-2"}]}
2019-06-05T09:12:57.084Z [info] 	13 Sending POST request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/element/0.20920481118294787-2/value:  {"value":["changeme"]}
2019-06-05T09:12:57.132Z [info] 	14 Sending elements request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d:  {"using":"xpath","value":"//button[text()='Login']"}
2019-06-05T09:12:57.133Z [info] 	14 Elements locator: {"value":"//button[text()='Login']","using":"xpath"}
2019-06-05T09:12:57.143Z [info] 	14 Elements response: {"sessionId":"90a00670caea3b007ce52498ba53b02d","status":0,"value":[{"ELEMENT":"0.20920481118294787-3"}]}
2019-06-05T09:12:57.145Z [info] 	15 Sending GET request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/element/0.20920481118294787-3/displayed:  {}
2019-06-05T09:12:57.158Z [info] 	16 Sending POST request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/element/0.20920481118294787-3/click:  {}
2019-06-05T09:13:00.202Z [info] 	17 Sending elements request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d:  {"using":"xpath","value":"//div[@class='at-main-menu-btn ch-icon-container menu']"}
2019-06-05T09:13:00.202Z [info] 	17 Elements locator: {"value":"//div[@class='at-main-menu-btn ch-icon-container menu']","using":"xpath"}
2019-06-05T09:13:00.239Z [info] 	17 Elements response: {"sessionId":"90a00670caea3b007ce52498ba53b02d","status":0,"value":[{"ELEMENT":"0.20920481118294787-4"}]}
2019-06-05T09:13:00.241Z [info] 	18 Sending GET request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/element/0.20920481118294787-4/displayed:  {}
2019-06-05T09:13:00.254Z [info] 	19 Sending POST request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/element/0.20920481118294787-4/click:  {}
2019-06-05T09:13:00.312Z [info] 	20 Sending elements request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d:  {"using":"xpath","value":"//a[@class='black-link nav-menu-category__item at-main-menu-pipelines']"}
2019-06-05T09:13:00.312Z [info] 	20 Elements locator: {"value":"//a[@class='black-link nav-menu-category__item at-main-menu-pipelines']","using":"xpath"}
2019-06-05T09:13:00.322Z [info] 	20 Elements response: {"sessionId":"90a00670caea3b007ce52498ba53b02d","status":0,"value":[{"ELEMENT":"0.20920481118294787-5"}]}
2019-06-05T09:13:00.323Z [info] 	21 Sending GET request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/element/0.20920481118294787-5/displayed:  {}
2019-06-05T09:13:00.333Z [info] 	22 Sending POST request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/element/0.20920481118294787-5/click:  {}
2019-06-05T09:13:00.390Z [info] 	23 Sending elements request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d:  {"using":"xpath","value":"//div/a[@title='pipJul_NOT_DELETE']__ta__EC:content:choosePipeline__ta__"}
2019-06-05T09:13:00.820Z [info] 	23 Enum nodes response:  {"sessionId":"90a00670caea3b007ce52498ba
